company_id,fiscal_year,title,title_zh,release_date,release_date_precision,release_event,release_scope,platform,annotation_ko,source_type,source_url
thirty_seven_interactive,2022,The Ants: Underground Kingdom China,小小蚁国,2022-09,month,regional_launch,China,Mobile,2022년 9월 중국 출시 후 월 매출 1억 위안을 넘긴 SLG 대표작.,official_quarterly_report,https://img.37wan.net/portal/20221031/3a713ff6ea6fea495f9e9caf6d938abe.pdf
thirty_seven_interactive,2023,A Record of a Mortal's Journey to Immortality Mobile,凡人修仙传：人界篇,2023-Q2,quarter,commercial_launch,China,Mobile,2023년 2분기 출시 후 3분기 안정 성장기에 진입한 회사의 선협 MMORPG 대표작.,official_annual_report,https://static.cninfo.com.cn/finalpage/2024-04-20/1219692344.PDF
thirty_seven_interactive,2024,Time Grocery Store,时光杂货店,2024-08,month,commercial_launch,China,Mobile,2024년 8월 출시한 1990년대 향수 테마의 경영 시뮬레이션 대표작.,official_annual_report,https://static.cninfo.com.cn/finalpage/2025-04-19/1223144118.PDF
thirty_seven_interactive,2025,Wittle Defender,英雄没有闪,2025-Q1,quarter,commercial_launch,China,Mobile/Mini-game,"APP 출시 후 iOS 매출 상위 5위, 이후 위챗 미니게임 매출 1위를 기록한 2025년 대표 신작.",official_annual_report,https://static.cninfo.com.cn/finalpage/2026-04-17/1225109788.PDF
tencent,2022,Return to Empire,重返帝国,2022-Q1,quarter,commercial_launch,China,Mobile,TiMi와 Xbox Game Studios가 협업한 실시간 전략 모바일 게임의 중국 출시.,official_product_list,https://static.www.tencent.com/uploads/2022/08/17/d5099a3718d8a6df66667f24dce4b32f.pdf
tencent,2023,Stone Age: Awakening,石器时代：觉醒,2023-Q4,quarter,commercial_launch,China,Mobile,카이잉이 개발하고 텐센트가 중국에서 퍼블리싱한 2023년 4분기 라이선스 신작.,official_product_list,https://static.www.tencent.com/uploads/2023/11/15/0b62be7a4405497f2d3e20529b567630.pdf
tencent,2024,Delta Force,三角洲行动,2024-Q3,quarter,commercial_launch,China,PC/Mobile,2024년 신규 출시 후 4분기 PC·모바일 합산 매출총액 10억 위안을 넘긴 FPS.,official_results_presentation,https://static.www.tencent.com/uploads/2025/03/19/f55938d61be94cf9700a971a4db08809.pdf
tencent,2025,VALORANT Mobile,无畏契约：源能行动,2025-08-19,day,commercial_launch,China,Mobile,2025년 8월 19일 출시. 첫 달 이용자와 매출총액 기준 중국 연중 최대 모바일 신작으로 회사가 제시.,official_results_presentation,https://static.www.tencent.com/uploads/2025/11/13/3ff004e913507e0309f3f62a553185b2.pdf
netease,2022,Diablo Immortal,暗黑破坏神：不朽,2022-07-25,day,regional_launch,China,Mobile,블리자드와 공동개발한 모바일 ARPG의 중국 정식 출시.,official_company_news,https://ir.netease.com/node/13661
netease,2023,Justice Mobile,逆水寒手游,2023-06-30,day,commercial_launch,China,Mobile,2023년 게임 매출 증가의 주요 원인으로 회사가 직접 지목한 모바일 MMO 신작.,official_company_news,https://ir.netease.com/news-releases/news-release-details/netease-announces-fourth-quarter-and-fiscal-year-2023-unaudited
netease,2024,Marvel Rivals,漫威争锋,2024-12-06,day,global_launch,Global,PC/Console,12월 6일 글로벌 출시 후 72시간 내 등록 이용자 1천만 명을 넘긴 PC·콘솔 슈터.,official_results_release,https://ir.netease.com/news-releases/news-release-details/netease-announces-fourth-quarter-and-fiscal-year-2024-unaudited
netease,2025,Where Winds Meet,燕云十六声,2025-11-14,day,global_launch,Global,PC/PlayStation 5,2025년 11월 14일 PC·PS5 글로벌 출시한 오픈월드 무협 ARPG.,official_company_news,https://ir.netease.com/node/15081
xd_inc,2022,Torchlight: Infinite,火炬之光：无限,2022-10,month,global_open_beta,Global,PC/Mobile,2022년 글로벌 오픈베타를 시작한 자체개발 ARPG. 이후 장기 시즌제로 성장.,official_annual_report_index,https://img.xdcdn.net/xdwp/2023/04/20230426095421902.pdf
xd_inc,2023,Sword of Convallaria,铃兰之剑,2023,year,regional_launch,China/Hong Kong/Macau/Taiwan,PC/Mobile,2023년 중국 본토·홍콩·마카오·대만에 출시한 자체개발 픽셀 전술 RPG.,official_shareholder_letter,https://2400.hk/en/news_single/13869
xd_inc,2024,Heartopia,心动小镇,2024,year,regional_launch,China,Mobile,2024년 중반 출시 후 TapTap 다운로드 2천만 건을 빠르게 넘긴 생활 시뮬레이션 흥행작.,official_shareholder_letter,https://2400.hk/en/news-single/15051
xd_inc,2025,Etheria: Restart,伊瑟,2025-06-05,day,global_launch,Selected global regions,PC/Mobile,2025년 6월 5일 글로벌 출시한 언리얼 엔진 기반 턴제 RPG.,official_store_announcement,https://store.steampowered.com/news/posts/?enddate=1745824729&feed=steam_community_announcements
